record_type,ring_no,scheme,scheme2,ring_no2,species_name,age,pulli_ringed,pulli_alive,sex,sexing_method,provisional_sex,breeding_condition,visit_date,capture_time,location_name,gridRef,habitat_1,habitat_2,status_code_1,status_code_2,lure_code_1,lure_code_2,wing_length,weight,date_measured,time_w,condition,moult_code,alula,old_greater_coverts,primary_moult,primary_covert_moult_scores,secondary_moult_scores,finding_condition,finding_circumstances,capture_method,metal_mark_info,ringer_initials,ringer_check_initials,processor_initials,extractor_initials,wing_initials,colour_mark_info,metal_mark_position,fatCombined,pectoral_muscle,body_moult,greater_covert_moult_scores,alula_moult_scores,carpal_covert_moult,wing_point,primary_length,bill_length_method,bill_length,head_bill_length,bill_depth_method,bill_depth,tarsus_length_method,tail_moult_scores,tarsus_length,tail_length,claw_length,plumage,tail_diff,lesser_median_covert_moult,underwing_covert_moult,head_moult,upperparts_moult,underparts_moult,permit_no,pullus_stage,extra_text,date_accuracy,left_leg_below,right_leg_below,left_leg_above,right_leg_above,neck_collar,left_wing_tag,right_wing_tag,nasal_saddle,sample_processed,high_tide_time,finder_name,own,own2,userc1,userc2,email,userc3,userc4,userc5,userv1,userv2,userv3,userv4,userv5,l_primary_moult_scores,l_secondary_moult_scores,l_tail_moult_scores,l_primary_covert_moult_scores,l_greater_covert_moult_scores,l_carpal_covert_moult,l_alula_moult_scores,toe_span
N,KKK101,GBT,,,Willow Warbler,3,,,U,U,U,,31/07/2019,10:00,CES7-LIP (CES7-LIP),TQ7776,B1,--,U,U,U,U,63,8.5,31/07/2019,10:00,N,P,,,,,,0,--,M,N,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ1948,GBT,,,Whitethroat,3,,,U,U,U,,31/07/2019,10:00,CES7-LIP (CES7-LIP),TQ7776,B1,--,U,U,U,U,73,13.8,31/07/2019,10:00,N,P,,,,,,0,--,M,N,SGK,-,SGK,-,SGK,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,ABJ1932,GBT,,,Whitethroat,3,,,U,U,U,,31/07/2019,06:00,CES7-LIP (CES7-LIP),TQ7776,B1,--,U,U,U,U,67,13.5,31/07/2019,06:00,N,P,,,,,,8,20,M,-,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,LK63760,GBT,,,Blackbird,5,,,F,P,U,5,31/07/2019,05:00,CES7-LIP (CES7-LIP),TQ7776,B1,--,U,U,U,U,122,92.6,31/07/2019,05:00,N,M,,,5554310000,,,8,20,M,-,-,-,RK,-,RK,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,LK78272,GBT,,,Blackbird,3J,,,F,P,U,,31/07/2019,09:00,CES6-LIP (CES6-LIP),TQ7776,B1,--,U,U,U,U,125,83.5,31/07/2019,09:00,N,J,,,,,,0,--,M,N,SGK,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ1940,GBT,,,Blackcap,4,,,F,P,U,4,31/07/2019,05:00,CES6-LIP (CES6-LIP),TQ7776,B1,--,U,U,U,U,75,17.9,31/07/2019,05:00,N,O,,,,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,AHB2504,GBT,,,Swallow,4,,,M,P,U,0,01/08/2019,23:00,DENM (Denton Marshes),TQ6773,C7,--,U,U,U,U,122,19.1,01/08/2019,23:00,N,,,,,,,8,20,M,-,-,-,MYM,-,,-,U,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,ABJ1947,GBT,,,Great Tit,3J,,,U,U,U,,31/07/2019,07:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,76,18.3,31/07/2019,07:00,N,T,,,,,,0,--,M,N,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,KKJ384,GBT,,,Long-tailed Tit,3,,,U,U,U,,31/07/2019,07:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,60,8.2,31/07/2019,07:00,N,M,,,5555542000,,,8,20,M,-,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,ABJ1946,GBT,,,Blue Tit,3J,,,U,U,U,,31/07/2019,07:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,65,,,,N,T,,,,,,0,--,M,N,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ1945,GBT,,,Blue Tit,3J,,,U,U,U,,31/07/2019,07:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,64,10.4,31/07/2019,07:00,N,P,,,,,,0,--,M,N,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ1944,GBT,,,Blue Tit,4,,,U,U,U,0,31/07/2019,07:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,64,10.3,31/07/2019,07:00,N,M,,,5555555540,,,0,--,M,N,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,ABJ1942,GBT,,,Whitethroat,4,,,U,U,U,N,31/07/2019,07:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,68,15.6,31/07/2019,07:00,N,O,,,,,,0,--,M,N,-,-,SGK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,DT38579,GBT,,,Green Woodpecker,3,,,U,U,U,,31/07/2019,06:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,156,184,31/07/2019,06:00,N,J,,,,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,JNT790,GBT,,,Chiffchaff,3,,,U,U,U,,31/07/2019,05:00,CES5-LIP (CES5-LIP),TQ7776,B1,--,U,U,U,U,59,7,31/07/2019,05:00,N,P,,,,,,0,--,M,N,-,-,RK,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
