record_type,ring_no,scheme,scheme2,ring_no2,species_name,age,pulli_ringed,pulli_alive,sex,sexing_method,provisional_sex,breeding_condition,visit_date,capture_time,location_name,gridRef,habitat_1,habitat_2,status_code_1,status_code_2,lure_code_1,lure_code_2,wing_length,weight,date_measured,time_w,condition,moult_code,alula,old_greater_coverts,primary_moult,primary_covert_moult_scores,secondary_moult_scores,finding_condition,finding_circumstances,capture_method,metal_mark_info,ringer_initials,ringer_check_initials,processor_initials,extractor_initials,wing_initials,colour_mark_info,metal_mark_position,fatCombined,pectoral_muscle,body_moult,greater_covert_moult_scores,alula_moult_scores,carpal_covert_moult,wing_point,primary_length,bill_length_method,bill_length,head_bill_length,bill_depth_method,bill_depth,tarsus_length_method,tail_moult_scores,tarsus_length,tail_length,claw_length,plumage,tail_diff,lesser_median_covert_moult,underwing_covert_moult,head_moult,upperparts_moult,underparts_moult,permit_no,pullus_stage,extra_text,date_accuracy,left_leg_below,right_leg_below,left_leg_above,right_leg_above,neck_collar,left_wing_tag,right_wing_tag,nasal_saddle,sample_processed,high_tide_time,finder_name,own,own2,userc1,userc2,email,userc3,userc4,userc5,userv1,userv2,userv3,userv4,userv5,l_primary_moult_scores,l_secondary_moult_scores,l_tail_moult_scores,l_primary_covert_moult_scores,l_greater_covert_moult_scores,l_carpal_covert_moult,l_alula_moult_scores,toe_span
N,AZJ0226,GBT,---,,Goldfinch,5,,,F,P,U,0,23/04/2020,13:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,77,15.3,23/04/2020,13:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,AZJ0225,GBT,---,,Goldfinch,5,,,M,P,U,C,23/04/2020,13:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,79,14.3,23/04/2020,13:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,LK63856,GBT,---,,Blackbird,6,,,F,P,U,3,23/04/2020,10:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,126,100,23/04/2020,10:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,NF28100,GBT,---,,House Sparrow,4,,,F,P,U,2,23/04/2020,10:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,77,25.4,23/04/2020,10:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,LK63858,GBT,---,,Blackbird,5,,,M,P,U,C,23/04/2020,09:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,125,83.8,23/04/2020,09:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,KKK509,GBT,---,,Wren,5,,,U,U,U,0,23/04/2020,09:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,48,9.4,23/04/2020,09:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,AZJ0221,GBT,---,,Blackcap,5,,,M,P,U,C,23/04/2020,08:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,74,15.8,23/04/2020,08:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,AZJ0201,GBT,---,,Robin,5,,,M,C,U,C,23/04/2020,06:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,74,19.4,23/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,AHB1050,GBT,---,,Great Tit,6,,,F,P,U,2,23/04/2020,06:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,75,19.6,23/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,Z814507,GBT,---,,Great Tit,6,,,M,P,U,C,23/04/2020,06:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,78,19.3,23/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,AZJ0224,GBT,---,,Blackcap,5,,,F,P,U,2,23/04/2020,07:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,73,18.7,23/04/2020,07:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,AZJ0223,GBT,---,,Blackcap,5,,,M,P,U,C,23/04/2020,06:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,73,17.9,23/04/2020,06:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,CJ79272,GBT,,,Starling,6,,,F,B,U,3,20/04/2020,11:30,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,132,80.4,20/04/2020,11:30,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79271,GBT,,,Starling,4,,,F,B,U,2,20/04/2020,10:10,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,122,85,20/04/2020,10:10,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79270,GBT,,,Starling,4,,,F,B,U,2,20/04/2020,09:35,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,120,81.2,20/04/2020,09:35,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79269,GBT,,,Starling,6,,,M,C,U,C,20/04/2020,08:05,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,134,85.2,20/04/2020,08:05,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79268,GBT,,,Blackbird,6,,,F,P,U,3,19/04/2020,16:25,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,127,104.7,19/04/2020,16:25,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,FH66117,GBT,,,Woodpigeon,4,,,U,U,U,0,14/04/2020,14:45,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,252,540,14/04/2020,14:45,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,EZ73231,GBT,,,Collared Dove,4,,,M,C,U,C,14/04/2020,13:45,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,182,226.2,14/04/2020,13:45,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79267,GBT,,,Blackbird,6,,,M,P,U,C,14/04/2020,16:20,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,134,94.5,14/04/2020,16:20,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79266,GBT,,,Starling,5,,,M,C,U,C,14/04/2020,12:40,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,128,87,14/04/2020,12:40,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79265,GBT,,,Starling,5,,,F,B,U,2,14/04/2020,12:10,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,127,81.4,14/04/2020,12:10,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79264,GBT,,,Starling,6,,,F,B,U,2,13/04/2020,14:00,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,129,89,13/04/2020,14:00,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79263,GBT,,,Starling,5,,,F,B,U,3,13/04/2020,14:00,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,123,88.7,13/04/2020,14:00,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79262,GBT,,,Starling,6,,,M,C,U,C,11/04/2020,17:10,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,132,90,11/04/2020,17:10,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79261,GBT,,,Starling,4,,,F,B,U,2,11/04/2020,14:45,WARD (Warden BAy),TR0271,B7,--,U,U,U,U,124,100.6,11/04/2020,14:45,N,O,,,,,,0,--,M,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79260,GBT,,,Starling,4,,,M,C,U,C,11/04/2020,13:55,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,129,82.3,11/04/2020,13:55,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79259,GBT,,,Starling,6,,,F,B,U,2,11/04/2020,13:53,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,125,91.1,11/04/2020,13:53,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79258,GBT,,,Starling,6,,,F,B,U,2,11/04/2020,12:45,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,127,86.6,11/04/2020,12:45,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,CJ79257,GBT,,,Starling,6,,,F,B,U,2,10/04/2020,16:45,WARD (Warden BAy),TR0271,F1,--,U,U,U,U,128,93.7,10/04/2020,16:45,N,O,,,,,,0,--,B,N,-,-,BJS,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,LRL235,GBT,,,Wren,5,,,U,U,U,0,19/04/2020,09:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,49,9.6,19/04/2020,09:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NF29303,GBT,,,Greenfinch,5,,,M,P,U,C,19/04/2020,11:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,87,25.6,19/04/2020,11:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NF29302,GBT,,,Greenfinch,5,,,M,P,U,C,19/04/2020,10:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,88,26.4,19/04/2020,10:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NF29301,GBT,,,Greenfinch,5,,,F,P,U,3,19/04/2020,07:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,86,28.8,19/04/2020,07:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ2207,GBT,,,Goldfinch,6,,,F,P,U,0,19/04/2020,12:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,76,15.9,19/04/2020,12:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ2206,GBT,,,Goldfinch,6,,,M,P,U,C,19/04/2020,12:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,79,15.7,19/04/2020,12:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ2205,GBT,,,Robin,5,,,M,C,U,C,19/04/2020,10:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,77,19.9,19/04/2020,10:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ2204,GBT,,,Blue Tit,5,,,U,U,U,0,19/04/2020,09:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,61,10.7,19/04/2020,09:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ2203,GBT,,,Chaffinch,5,,,F,P,U,2,19/04/2020,06:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,79,18.3,19/04/2020,06:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,AZJ2194,GBT,,,Great Tit,5,,,F,P,U,0,19/04/2020,13:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,73,17.9,19/04/2020,13:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,LRL230,GBT,,,Goldcrest,5,,,M,P,U,C,19/04/2020,08:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,54,5,19/04/2020,08:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,AZJ0701,GBT,,,Blue Tit,5,,,F,B,U,2,19/04/2020,07:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,64,12.8,19/04/2020,07:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,LRL231,GBT,,,Wren,5,,,U,U,U,0,19/04/2020,06:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,49,11,19/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,LH72502,GBT,,,Great Spotted Woodpecker,6,,,M,P,U,C,19/04/2020,06:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,134,84.3,19/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,AZJ2186,GBT,,,Robin,5,,,M,C,U,C,17/04/2020,07:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,75,19.1,17/04/2020,07:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,AZJ0715,GBT,,,Blue Tit,5,,,U,U,U,0,17/04/2020,07:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,62,10.2,17/04/2020,07:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,LH72536,GBT,,,Great Spotted Woodpecker,6,,,M,P,U,C,17/04/2020,07:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,132,81.4,17/04/2020,07:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,AZJ0222,GBT,,,Coal Tit,5,,,F,P,U,3,19/04/2020,12:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,60,11.4,19/04/2020,12:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,AHB0450,GBT,,,Great Tit,6,,,F,P,U,2,19/04/2020,11:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,72,18.9,19/04/2020,11:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,EY50497,GBT,,,Magpie,6,,,M,C,U,C,19/04/2020,11:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,191,224,19/04/2020,11:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,LK63859,GBT,,,Blackbird,5,,,M,P,U,C,19/04/2020,09:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,116,94.1,19/04/2020,09:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ0221,GBT,,,Blackcap,5,,,M,P,U,C,19/04/2020,09:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,74,15.9,19/04/2020,09:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,AHB2181,GBT,,,Blue Tit,6,,,M,C,U,C,19/04/2020,07:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,63,11.4,19/04/2020,07:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,KKK502,GBT,,,Chiffchaff,4,,,M,C,U,C,19/04/2020,06:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,60,7.5,19/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,B0,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,AZJ0215,GBT,,,Robin,5,,,F,B,U,4,19/04/2020,05:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,70,17.2,19/04/2020,05:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,AHB1045,GBT,,,Blue Tit,6,,,F,B,U,3,19/04/2020,05:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,63,12.7,19/04/2020,05:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,NF28021,GBT,---,,Dunnock,0,,,U,U,U,,12/04/2020,00:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,,,,,U,,,,,,,1,--,-,-,-,-,-,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,LL57431,GBT,,,Blackbird,5,,,M,P,U,C,14/04/2020,09:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,130,94.9,14/04/2020,09:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ2202,GBT,,,Blue Tit,5,,,F,B,U,1,14/04/2020,09:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,62,12.9,14/04/2020,09:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ2201,GBT,,,Blackcap,5,,,F,P,U,0,14/04/2020,07:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,F,U,77,17.9,14/04/2020,07:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,AZJ0794,GBT,,,Blue Tit,5,,,M,C,U,C,14/04/2020,09:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,63,10.9,14/04/2020,09:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,AZJ2168,GBT,,,Robin,5,,,M,P,U,C,14/04/2020,06:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,75,18.9,14/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,AZJ2168,GBT,,,Robin,5,,,M,C,U,C,24/03/2020,17:00,"SHO (Shorne, Gravesend)",TQ6970,F3,--,U,U,U,U,75,21.2,24/03/2020,17:00,N,O,,,,,,0,--,M,N,-,-,ARH,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,NF28099,GBT,,,Dunnock,4,,,M,C,U,C,14/04/2020,12:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,70,20,14/04/2020,12:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ0220,GBT,,,Robin,5,,,M,C,U,C,14/04/2020,11:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,74,21.7,14/04/2020,11:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,S258060,GBT,,,Blue Tit,6,,,M,C,U,C,14/04/2020,11:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,65,12.8,14/04/2020,11:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
S,AZJ0198,GBT,,,Blue Tit,5,,,F,B,U,1,14/04/2020,11:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,61,11.1,14/04/2020,11:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,
N,AZJ0219,GBT,,,Goldfinch,5,,,M,P,U,C,14/04/2020,10:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,80,16.4,14/04/2020,10:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,AZJ0218,GBT,,,Blue Tit,5,,,M,C,U,C,14/04/2020,08:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,64,11.1,14/04/2020,08:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RY50508,GBT,,,Song Thrush,5,,,M,C,U,C,14/04/2020,08:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,118,73,14/04/2020,08:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
